,Spreadsheet maintain by HTMAG community - join discord to discuss and contribute https://howtomarketagame.com/,,,,,,,,,,,
,OPEN,CLOSING SOON!,LAST DAY!,,,,,,,,,
Festival,Type,When,Deadline (YYYY-MM-DD),Submission Open,Price,Steam page,"Was it worth the price?
EGX / The Leftfield Collection,Physical Expo,October,2022-06-30,FALSE,Free,No?,Depends,`,https://www.egx.net/london/en-gb/things-to-do/the-leftfield-collection.html,,FALSE,-1244
PAX East - PAX Rising Showcase,Physical Expo,April,2022-03-01,FALSE,$50,"Hard to tell, they returned to physical format","Depends, steam featuring was very poor for last edition","Curated event at PAX, physical presense is expensive.",https://store.penny-arcade.com/products/pax-rising-showcase,,FALSE,-1365
MomoCon - Indie Awards Showcase,Physical Awards,May,TBA,FALSE,$50,No,Yes,Curated event. Some media coverage like Kotaku is possible. (Judges are from press),https://www.momocon.com/indies/,,#VALUE!,#VALUE!
BIG Festival,Physical Awards,June,2025-01-15,FALSE,Free?,???,???,"""the most important game festival in Latin Americ"", not much info about rules and submissions avaible publicly",https://bigfestival.com.br/en/submissions/,,FALSE,-314
Pixel Heaven - Pixel Awards Europe,Physical Awards,June,2023-04-28,FALSE,Free,No,No,"Curated Event, Need to be able to go to Warsaw if selected.Event didn't offer much of exposure.
Probably not worth it if you are not local dev.",https://www.pixelheavenfest.com/en/pixel-awards-europe/,,FALSE,-942
Games For Change Festival,Hybrid Expo/Awards,July,2023-02-06,FALSE,???,"Yes, featuring???",???,Curated event. Need more info.,https://g4cawards.secure-platform.com/a,https://store.steampowered.com/sale/g4c,FALSE,-1023
Latinx Game Festival,Hybrid Expo,September,2022-06-12,FALSE,Free,???,???,Curated event.,https://www.latinxgamesfestival.com/,,FALSE,-1262
EGX / Birmingham,Hybrid Expo,March,2022-03-01,FALSE,Paid,Probably yes,"Expensive, greatly depends","Paid event, pretty expensive. In the past EGX didn't manage to get decent featuring on Steam. People complained it wasn't worth the money in terms of WL gain.",https://www.egx.net/,https://store.steampowered.com/sale/egx2021,FALSE,-1365
Games in Sweden,Digital Expo,January,TBA,FALSE,Free,Yes,???,This event is to show off the amazing games that have come out of Sweden so please only apply if you are a Sweden-based publisher or Development Studio. ,https://docs.google.com/forms/d/e/1FAIpQLScl02Tdryqtest-ns7bAIlFCNiE0tsIK2BAwFZQYXD0HA5DXA/viewform,,#VALUE!,#VALUE!
"Game Over, T1D!",Digital Expo,February,TBA,FALSE,Free,"Yes, featuring???",???,"""this annual event supports the leading global type 1 diabetes (T1D) research and advocacy organization, helping to make everyday life better 💙 while driving toward cures.""",https://docs.google.com/forms/d/e/1FAIpQLSe7xsf7Lge6_UNyxOyg0-kIsOzmlhBZyRKO2zDV5IgPnDvzdA/viewform,,#VALUE!,#VALUE!
Iwocon,Digital Expo,March,TBA,FALSE,Free,"Yes (steam page + steam game), small featuring",Yes,Curated event. Decent streaming coverage for selected games and demos.,https://www.indieworldorder.com/,"https://store.steampowered.com/sale/iwocon2021
https://store.steampowered.com/app/1422300/IWOCon_2021/",#VALUE!,#VALUE!
The Mix Game Dev Direct,Digital Expo,March,TBA,FALSE,??? Probably $500 if you get selected,"Yes, featuring???",???,Curated event.,https://www.mediaindieexchange.com/,https://store.steampowered.com/sale/TheMIX,#VALUE!,#VALUE!
Indian Harvest Festival,Digital Expo,April,TBA,FALSE,???,Yes,???,Curated event,https://www.indianharvestfestival.com/,https://store.steampowered.com/sale/indianharvestfestival,#VALUE!,#VALUE!
E3 Expo (Online),Digital Expo,June,TBA,FALSE,Expensive,Yes with front page featuring,Greatly Depends,"So, it's super expensive. And there are like 3-5 different indie showcases going on here as well. One of them was Wholesome Direct. You are also competing against a crapton of AAA games. The value from impressions alone cannot be ascertained immediately, but wishlists gathered were pretty high, even if not exactly as cost-effective as perhaps a FB ad drive would be. Steam page also sucked. The way they did it was not intuitive and TBH it kinda failed in regards to how other Steam pages are treated.",https://e3expo.com/,https://store.steampowered.com/sale/e3showcase2021,#VALUE!,#VALUE!
Game Dev Days,Digital Expo,June,TBA,FALSE,???,Yes,???,Steam page for games from Austria,https://gamedevdays.com/,https://store.steampowered.com/sale/austria,#VALUE!,#VALUE!
Games in Italy,Digital Expo,June,TBA,FALSE,Free,Yes,Depends,Curated event,https://en.iideassociation.com/,https://store.steampowered.com/sale/gamesinitaly,#VALUE!,#VALUE!
PC Gaming Show,Digital Expo,June,TBA,FALSE,Free,"Yes, featuring???",???,Curated event. Need more info.,https://www.pcgamingshow.com/,https://store.steampowered.com/sale/pcgamingshow,#VALUE!,#VALUE!
Gamescom Europe,Digital Expo,August,TBA,FALSE,from 3000 euro,Yes with front page featuring,Depends ,Being featured in awards or IGN/ONL helps a lot. IAB probably worth more due to separate event page and crossover with gamescom. Had 3 separate steam pages. Currently Indie Arcade Offer by itself is not so good.,https://www.gamescom.global/,"https://store.steampowered.com/sale/gamescom
https://store.steampowered.com/sale/IndieArenaBooth2021
https://store.steampowered.com/sale/futuregamesshow",#VALUE!,#VALUE!
Latam Games,Digital Expo,September,TBA,FALSE,Free,Yes (featuring only in LATAM),Yes,Curated event. Only games from South America / LATAM are allowed.,https://expoeva.com/,https://store.steampowered.com/sale/latam,#VALUE!,#VALUE!
The Escapist Indie Showcase,Digital Expo,September,TBA,FALSE,Free,No,Yes,"Curated event. Only streamed by The Escapists, it didn't manage to bring much visibility for attending games. Hard to tell if this is event saturation or The Escapists didn't promote it much. Live streams got barely any views.
It's free doesn't cost much time and it gives some exposure.",https://www.escapistmagazine.com/v2/showcase/,,#VALUE!,#VALUE!
Games Made in France,Digital Expo,October,TBA,FALSE,Expensive (1k-7k euro),"Yes, weeklong feature",Yes,"Paid and curated event for games made in France, 40 games participating. In previous edition, all participating games got 60k WL total.
Stats from game: https://medium.com/@hegor59260/jeux-made-in-france-how-beneficial-are-steam-featured-events-for-upcoming-games-8f591f582fa3",https://jeuxmadeinfrance.fr,https://store.steampowered.com/sale/GamesMadeInFrance2021,#VALUE!,#VALUE!
IndieLand,Digital Expo,November,TBA,FALSE,???,"Yes, no featuring",Charity event,Curated event,https://www.indieland.org/,https://store.steampowered.com/curator/40822184/sale/IndieLand2022,#VALUE!,#VALUE!
Start Your Engine,Digital Expo,May,2026-03-30,TRUE,Free,Yes,YES,"Start Your Engine celebrates games where vehicles are the star: driving and convoy survival, simulation and management, racing and rally, and rover piloting—across every genre, so long as the mechanical vehicle is core to play and not just set dressing, and combat is not the main feature.",https://docs.google.com/forms/d/e/1FAIpQLSdmZfAwYJ8El1Y_6PBNbPeE60PQ1rHLE-BMVL-cEsst9ndZLg/viewform,,FALSE,125
Rogue Bots,Digital Expo,March,2026-01-20,TRUE,Free,Yes,???,"Curated event. ""Uses the Roguelike or Roguelite Steam tag (or something close) Features robots, mechs, or AI as a core part of the experience """,https://docs.google.com/forms/d/e/1FAIpQLSewn9yoHSns-FJhsKMANhiX9wM813l7lJO4klwxsXYe-ghJ3A/viewform,,FALSE,56
Wholesome Underdogs,Digital Expo,March,2025-11-01,TRUE,Free,"Yes, no featuring",Yes,An event for wholesome hidden gems that pack a punch!,https://docs.google.com/forms/d/1n2RFvLNaSm_1zBTZZrjPnvqN5Gt6uQPI-KnsfEYgtDM,,FALSE,-24
Spy Video Game Rendezvous,Digital Expo,January,2025-12-15,TRUE,Free,Yes,???,"Curated event, ""... spy-themed video games ...""",https://docs.google.com/forms/d/e/1FAIpQLSfg6ufFIoyp6LQZ2rCUUZwG6ZzJw9XBjEoRbLLj0ngUnQ88ng/viewform,,FALSE,20
Beyond the Book,Digital Expo,April,2025-12-05,FALSE,Free,"Yes, featuring???",,Curated event. Beyond the Book celebrates games that are inspired by literature. The event showcases great games with engaging storylines and captivating worlds to explore across all genres.,"https://docs.google.com/forms/d/e/1FAIpQLScBStUYBY0rsvinCIpR9ZpqNFMd-85pm5cYKhbggaBTp3vXdw/viewform
https://beyondthebook.notion.site/",,FALSE,10
Midwinter Spirits Festival,Digital Expo,December,2025-11-14,FALSE,Free,Yes,???,"Curated event. ""... games that combine coziness and charm with themes like witchcraft, ghosts, skeletons, supernatural, night or winter atmosphere ...""",https://docs.google.com/forms/d/e/1FAIpQLSffYP6almJP1O0Dl1YbzfzVsJY59W_6J0lPGHwZz55km6fetQ/viewform,,FALSE,-11
Women's Day Sale,Digital Expo,February,2025-11-09,TRUE,Free,Yes,???,Curated event.,https://docs.google.com/forms/d/e/1FAIpQLSfoFwxLV5QSwL9Sbd9-XOLZ04iLnwcZzyHk0EfsDaqW5fO0Ow/viewform,https://store.steampowered.com/sale/WomensDaySale,FALSE,-16
PixElated Festival,Digital Expo,February,2025-10-14,TRUE,Free,Yes,,Steam Festival showicaing pixel-art RPG games. Submission form: pixelatedfest.com,pixelatedfest.com,https://store.steampowered.com/sale/PixElatedFestival,FALSE,-42
Shop Keepers Fest,Digital Expo,November,2025-10-11,FALSE,Free,Yes,???,"Curated event. ""Celebration event for Shop Keeping games! """,https://docs.google.com/forms/d/e/1FAIpQLSf7Mc3F3Y7ljpv75ckT1vd1NH6v-XAV3iPoJ_bEAazMWTiKJg/viewform,,FALSE,-45
Lovecraftian Days,Digital Expo,April,2025-10-10,FALSE,Free,Yes,???,"Curated event. ""celebrating the influence of the works of H.P. Lovecraft and elements of the cosmic horror genre in gaming. """,https://docs.google.com/forms/d/e/1FAIpQLSesuOxSd6si1-8W1jjufIzMQEIwA1k0KUDDLIokGkFUOTmJxQ/viewform,,FALSE,-46
Earth Appreciation Festival,Digital Expo,April,2025-10-10,FALSE,Free,Yes,???,"Curated event. "".. celebrating the beauty of our green planet, and the marvelous diversity of life as we see it and as we imagine it. Each year we choose a selection of games with nature or eco-dystopian themes.""",https://docs.google.com/forms/d/e/1FAIpQLSfdVeyVmDEbi9MTiH__3tFY2cTUP3j6DuEC4bOJygb3QJs-DQ/viewform,,FALSE,-46
OTK Expo - Winter,Digital Expo,November,2025-10-05,FALSE,Free,"Yes, featuring???",Yes,Curated event with excellent streamer coverage.,https://www.otkgamesexpo.com/,https://store.steampowered.com/curator/42428269/sale/OTKGamesExpo2025,FALSE,-51
The Medieval Festival,Digital Expo,December,2025-10-01,FALSE,Free,Yes,Yes,"Your game’s core theme must be centered around the medieval era.
This includes (but is not limited to): Castles, Knights, Kings and queens, Life in medieval villages and towns, Historically grounded mechanics and settings.
",https://docs.google.com/forms/d/e/1FAIpQLSe0ifOfO_6HfSs6fPrVi6wh7ZxhwBUm2R67ZTW5-Pqm946HMQ/viewform?usp=sharing&ouid=106407618521298929251,,FALSE,-55
Comic Con Stuttgart,Digital Expo,November,2025-09-30,FALSE,???,"Yes, featuring???",???,Curated event.,https://docs.google.com/forms/d/e/1FAIpQLSdjAXOg--AujU7LO_zKGCUGWiUGsmza6ns0HJgUKxllAUKlIw/viewform,,FALSE,-56
Best Indie Games Winter Showcase,Digital Expo,December,2025-09-30,FALSE,177$,???,???,"Curated event from Best Indie Games channel. ""    Games releasing in 2026 ONLY
    Including Updates / 1.0 launches of existing games in 2026""","https://docs.google.com/forms/d/e/1FAIpQLSeLM3MFglNhZQfjRQZ14eIR4i8d8t6P4XVlC-eQYTctIGHpIw/viewform
https://www.youtube.com/watch?v=evBtIu6USWU&ab_channel=BestIndieGames",,FALSE,-56
INDIE Live Expo - Winter,Digital Expo,November,2025-09-29,FALSE,Free,Yes,Free,Curated event,https://indie.live-expo.games/en/entry,https://store.steampowered.com/sale/indieliveexpo2021,FALSE,-57
Day of the Devs: Winter,Digital Expo,December,2025-09-29,FALSE,Free,Yes,???,Curated event,https://www.dayofthedevs.org/showcases/day-of-the-devs-the-game-awards-digital-showcase-2025,https://store.steampowered.com/sale/dayofthedevs/,FALSE,-57
Wholesome Snack,Digital Expo,December,2025-09-23,FALSE,Free,"Yes, featuring",Yes,"Curated event. ""Anyone with a game that's a good fit for our community and an exciting announcement that you're willing to make exclusive to the Wholesome Snack""","https://wholesomegames.com/
https://docs.google.com/forms/d/e/1FAIpQLSf5CHrADWv_ZVXPTI8DE9p48-MT-wF_WElJ4W7rbyyF7cx6TQ/viewform",https://store.steampowered.com/curator/35411526-Wholesome-Games-%E2%99%A5/sale/wholesomesnack,FALSE,-63
"The Fun, The Dark, and The Cozy",Digital Expo,February,2025-09-15,FALSE,Free,Yes,???,"""So here’s our context: a playful pun that defines our event — The Fun, The Dark, and The Cozy.""",https://docs.google.com/forms/d/e/1FAIpQLSfFASEwkDPX8zTdaKdvRn8GHEsZltQlbOakLtnqPvq78TNtiw/viewform,,FALSE,-71
Ancient Costume Game Festival,Digital Expo,November,2025-09-10,FALSE,Free,Yes,Yes,"""No matter which country or region your team is from, no matter what size your team is, as long as your game is set in ancient times (ancient China, ancient Japan, ancient Egypt, etc.), your submission is welcomed!""",https://docs.google.com/forms/d/e/1FAIpQLScUBRydNTH1tMV2lPE6-tEYsIkslnXNK4ACYxhwZ_tPx5cmnw/viewform,,FALSE,-76
Beat 'em up Games Party,Digital Expo,October,2025-09-07,FALSE,Free,Yes,???,"""We’d love to invite your game to be part of the event! Whether it’s a classic arcade brawler or a modern revival, if your game delivers intense combat and co-op chaos, it belongs here.""",https://docs.google.com/forms/d/e/1FAIpQLSe2RQlEmHErhV66m1YY7Zqmcrbcj_kaHA6gk6-vmJKBbBgX3g/viewform,,FALSE,-79
Indie X Online,Digital Expo,November,2025-09-07,FALSE,Free,"Yes, no featuring",Waiting for feedback,Waiting for feedback,https://indiex.online/,https://store.steampowered.com/curator/41213476/sale/IndieX2022,FALSE,-79
ENDIX Indie Showcase,Digital Expo,November,2025-09-01,FALSE,Free,Yes,???,"""All kind of Steam games released or upcoming.""",https://docs.google.com/forms/d/e/1FAIpQLSdOvwmdGrXkXVc3DKMl-EQ9oTLb9Qp2No-6QdnCH6uMAqtjHQ/viewform,,FALSE,-85
Finnish Games Week,Digital Expo,October,2025-08-31,FALSE,Free,Yes,???,"Curated event. ""published or upcoming game on Steam made by Finnish game company""",https://docs.google.com/forms/d/e/1FAIpQLSei-3qIbMQBoLWPgHXDpifUfAiOf__laeRhkTELOMw26ZxFUA/viewform,,FALSE,-86
Haunted House Fearfest,Digital Expo,November,2025-08-30,FALSE,20$,???,???,"Curated event. "" indie developers looking to showcase their horror, thriller, or dark fantasy games at our festival. """,https://www.hauntedhousefearfest.com/,,FALSE,-87
Monster Taming Direct,Digital Expo,September,2025-08-25,FALSE,Free,No,???,"Curated event. ""monster tamer""","https://www.youtube.com/watch?v=3LXxAupvdzE
https://docs.google.com/forms/d/e/1FAIpQLSd5GBQ85yjGauGRhng0WHy_z5X_3TjS5GHClpJDJeCDl2VXaw/viewform",,FALSE,-92
Choose Wisely Festival,Digital Expo,December,2025-08-24,FALSE,Free,Yes,Yes,"Curated event ""the ""choices matter"" or ""multiple endings"" steam tag.""",https://docs.google.com/forms/d/e/1FAIpQLSdL55-81KhIMHRN93tIcgmQcAUv5eHcRPO8G-ihBQWRXOyeqQ/viewform,,FALSE,-93
Sword Celebration,Digital Expo,September,2025-08-22,FALSE,Free,Yes,Yes,"""Ones that feature prominent Swords or Sword gameplay mechanics. """,https://docs.google.com/forms/d/e/1FAIpQLSfdTqx13hDnwVk0MWRU1FSkk3qsTrU5R2sRpDTXXrlZXw5clQ/viewform,,FALSE,-95
Brutal Indies Unleashed,Digital Expo,September,2025-08-12,FALSE,Free,Yes,???,"Curated event. ""Your game must feature combat or video game violence in some form.""",https://docs.google.com/forms/d/e/1FAIpQLScxqdQn8IH0Xlfr66KugReW6gZec7Q1gyuUPYq0Z3IGllDYgQ/viewform,,FALSE,-105
MIX Fall Showcase,Digital Expo,August,2025-08-11,FALSE,600$,Yes,???,Curated event.,https://mediaindieexchange.com/showcases/the-mix-fall-game-showcase-2025,,FALSE,-106
Four is a Party,Digital Expo,November,2025-08-11,FALSE,Free,"Yes, featuring",???,"""Only games that are primarily multiplayer games are eligible for this event.""",https://docs.google.com/forms/d/e/1FAIpQLSco093EMHeZduBy6B-gVEAT0mp9UZFVXs5OWOCKcgBrWHIyCQ/viewform,,FALSE,-106
"Build, Design, Chill Steam Sale",Digital Expo,November,2025-08-08,FALSE,???,Yes,???,""".. games that allow players to create and build until their hearts are fully content ..""",https://docs.google.com/forms/d/e/1FAIpQLSfGzD5kxgR6d9vSyrDH17GfYodmO1gKNaallwlXDW_8GkB6dg/viewform,,FALSE,-109
Metroidvania Fusion,Digital Expo,November,2025-08-03,FALSE,Free,Yes,???,Curated event.,https://docs.google.com/forms/d/e/1FAIpQLSdtGu8hfPbkPuhS81hh3ebc5SEdD3wrXTSW9ktT0ve0OgDuzw/viewform,,FALSE,-114
Debut Festival,Digital Expo,August,2025-08-01,FALSE,Free,Yes,Yes,Curated event,https://docs.google.com/forms/d/e/1FAIpQLSegA5wnmMdUemc2nXK6cIoe0JS4JQoSYn-JJAvnanAuPG_91w/viewform?usp=header,,FALSE,-116
Mexican Entertainment System,Digital Expo,September,2025-08-01,FALSE,???,"Yes, featuring???",???,For Mexican developers.,https://docs.google.com/forms/d/e/1FAIpQLSe8IeF-mlVc1kCgNjINt8HLVuiUGoQwztM9iA3jFZ0vkvxbRg/viewform,,FALSE,-116
Cozy Job Simulators,Digital Expo,September,2025-08-01,FALSE,Free,"Yes, featuring",???,"""A celebration event for cozy, cute, wholesome and family friendly job simulator games on Steam!""",https://docs.google.com/forms/d/e/1FAIpQLSdHvuedj4ytTxGnLb3onTdRnFVozbuOyH39-BBuwQZpnznhjg/viewform,,FALSE,-116
"The Love, Romance, and Heartbreak Debutante Ball",Digital Expo,February,2025-07-31,FALSE,Free,Yes,???,"Curated event. ""for games about that tricky thing called love (or about a desire to remain single), taking place in February around Valentine's Day""","https://docs.google.com/forms/d/e/1FAIpQLSffbSgLy1V3jl5K6djHp2m5GQnj-f5cQJnFeIcVwm80Na_kMw/viewform
https://www.sunnydemeanorgames.com/festivals",,FALSE,-117
Let Freedom Ring Jubilee,Digital Expo,July,2025-07-31,FALSE,Free,Yes,???,"Curated event. ""... to celebrate this historic milestone by bringing together video games celebrating the USA, American history, indigenous peoples, fights for freedom around the world,...""",https://docs.google.com/forms/d/e/1FAIpQLSf9_-GLLFLoJuWTx7hUL7y84GymZJiByfAnxhPdYh575WPVeA/viewform,,FALSE,-117
Games Against Living Miserably,Digital Expo,September,2025-07-31,FALSE,Charity Donation,Yes,???,Curated event.,https://docs.google.com/forms/d/e/1FAIpQLSePrOMvf2pcrZOoeMzufPli5B-Ty3_GraEBBPcisw1M3gfpeA/viewform,,FALSE,-117
The ANZ Indie Showcase,Digital Expo,August,2025-07-25,FALSE,Free,Yes,???,The ANZ Indie Showcase is a showcase for indie games made in Australia or New Zealand. ,"https://docs.google.com/forms/d/e/1FAIpQLSfVviUkDnZMZui5QiAI9fEJ4bLXCgvmba8gNQctndr1VMstgg/viewform
https://docs.google.com/forms/d/e/1FAIpQLSc5Us8ShuK1S0iLFbgCvk4YGb0AhzxaOe482YD6pj42HtKv-g/viewform",,FALSE,-123
Indie Fan Fest,Digital Expo,August,2025-07-18,FALSE,600$,???,???,Curated event.,"https://mediaindieexchange.com/showcases/indie-fan-fest-fall-2025
https://indiefanfest.com/",,FALSE,-130
No time to loot,Digital Expo,September,2025-07-17,FALSE,Free,Yes,???,"""- Dungeon Crawler- Loot / Looter Shooter- RPG (any variation)""",https://docs.google.com/forms/d/e/1FAIpQLSfCEQO6gHqRizBdojVYh1uCthrKOMoQzraeU0RTol7K3ob5rg/viewform,,FALSE,-131
devINITIVE,Digital Expo,September,2025-07-15,FALSE,???,???,???,Curated event. Estar desarrollado en Latinoamérica o España.,https://www.dev-initive.com/,,FALSE,-133
Games Without Borders by Tencent,Digital Expo,October,2025-07-15,FALSE,Free,Yes,???,You need demo/ playable build,https://gameinstitute.tencent.com/awards2025,anyone knows?,FALSE,-133
Romance Visual Novels Steam Festival,Digital Expo,October,2025-07-15,FALSE,Free,Yes,???,"Curated event. ""must be a visual novel or visual novel hybrid .. focused on romance """,https://docs.google.com/forms/d/e/1FAIpQLSenIsLOMl_7uzk4oJ0-9Ok38u6zsZxo-LD_X-Tjt72awpSiQg/viewform,,FALSE,-133
AdventureX,Digital Expo,November,2025-07-14,FALSE,???,"Yes, featuring",Yes,Curated event,https://adventurexpo.org/,https://store.steampowered.com/publisher/ASHGAMES/sale/AdventureX2022/,FALSE,-134
Indie Assemble: The 123 Stars,Digital Expo,September,2025-07-13,FALSE,Free,Yes,???,"Curated event. ""The participating titles will be selected by Excaliber, with support from a Jury of industry experts""",https://docs.google.com/forms/d/e/1FAIpQLSfQIneORc-abYIhH-Qu0pNdDs_acX1xwojxJHEVKJ76K8as_g/viewform,,FALSE,-135
The Hungry Ghost Festival,Digital Expo,September,2025-07-05,FALSE,Free,Yes,???,"""The game has horror, dark, creepy, mysterious, or supernatural theme""",https://docs.google.com/forms/d/e/1FAIpQLScV6Kr3xA_cw7l3AdzKmXv83F0zYkr1R-NVP8C8WHDvC4gGNw/viewform,,FALSE,-143
Games under 5 hours,Digital Expo,October,2025-06-30,FALSE,Free,Yes,???,"Curated event. ""A main story under 5 hours (according to HowLongToBeat.com)  """,https://gamesunder5hours.com/,,FALSE,-148
Wholesome Games Celebration,Digital Expo,August,2025-06-23,FALSE,Free,Yes,???,Curated event. Wholesome Games,"https://wholesomegames.com/
https://docs.google.com/forms/d/e/1FAIpQLScFTcqvl-IStFJsjRmnqgXyrBYugnvlovTj7BFUIRpPnGU3FQ/viewform",,FALSE,-155
Wonders of Wizardry,Digital Expo,September,2025-06-23,FALSE,Free,Yes,Free,"""Steam games, released or upcoming, with a 🧙 WIZARD 🧙 theme. It is not enough for a game to include magic-users, it must be about magic-users, and preferably those with an academic, bookish, arcane bent.""",https://docs.google.com/forms/d/e/1FAIpQLScD_tUm7LL_RtuKqwYp8aPTzxNIXsOsQ03fAGrlk-V5CqkY3w/viewform,,FALSE,-155
Games Germany,Digital Expo,July,2025-06-15,FALSE,Free,"Yes, featuring???",???,Curated event for games from Germany,"https://docs.google.com/forms/d/e/1FAIpQLSeihqKIeJEuLB7yRu0AVxpwwingKSGWllMTbPINHxYGvznJhQ/viewform
https://www.games-germany.de/",,FALSE,-163
